diaglocalcode,diagnosis
DC5966,Seropositive rheumatoid arthritis_ unspecified_ site unspecified
DC5968,Bitten or stung by nonvenomous insect and other nonvenomous arthropods_ unspecified place
DC5969,Tuberculous infection of cervix uteri
DC597,Synovial Sarcoma NOS
DC5970,Closed fracture of other carpal bone
DC5971,Peroneal tendinitis
DC5973,Malignant neoplasm of urethra
DC5978,Biomechanical lesion_ unspecified_ abdomen and other
DC5979,Other specified spondylopathies_ lumbar region
DC598,Palmar fascial fibromatosis [Dupuytren]
DC5980,Ulcerative(chronic) rectosigmoiditis
DC5982,Carcinoma in situ of rectum
DC5983,Injury of external jugular vein
DC5985,Other hydrocephalus
DC5986,Sequelae of other fracture of thorax and pelvis
DC5988,Extrarenal uremia
DC5989,Open fracture of scapula
DC599,Spastic paraplegia
DC5992,Magnesium deficiency
DC5993,Other malignant neoplasm of skin of other and unspecified parts of face
DC5995,Leukoplakia and other disturbances of oral epithelium_ including tongue
DC5996,Hypertension secondary to endocrine disorders
DC5997,Subluxation complex_ cervical region(cervicothoracic)
DC5998,Irritant contact dermatitis_ unspecified cause
DC5999,Intervertebral disc disorder_ unspecified
DC6,Other specified follicular disorders
DC60,Toxic nephropathy_ NEC
DC6002,Allergic contact dermatitis due to metals
DC6003,Malposition of uterus
DC6006,Hypoglycemia_ unspecified
DC6007,Malignant neoplasm of branchial cleft
DC6009,Internal derangement of knee_ unspecified_ combined injury(meniscus_ cruciate ligament_ collateral ligament_ posterolateral structures)
DC6010,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
DC6011,Spontaneous rupture of unspecified tendons_ site unspecified
DC6012,Histiocytic sarcoma
DC6013,Postmenopausal osteoporosis with pathological fracture_ upper arm (humerus_ elbow joints)
DC6014,Fracture of lower end of both ulna and radius_ open
DC6016,Infective myositis_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC6017,Small Cell Sarcoma
DC6018,Other post-traumatic gonarthrosis
DC6019,Malignant neoplasm of hepatic flexure
DC602,Pre-existing essential hypertension complicating pregnancy_ childbirth and the puerperium
DC6023,Cardiovascular disease_ unspecified
DC6024,Fitting and adjustment of dental prosthetic device
DC6025,Injury of unspecified muscles and tendons at lower leg level
DC6026,Thoracogenic scoliosis_ site unspecified
DC6027,Female tuberculous pelvic inflammatory disease
DC603,Other specified inflammatory spondylopathies_ site unspecified
DC6030,Hypoesthesia of skin
DC6032,Gross hematuria
DC6033,Erb's paralysis due to birth injury
DC6034,Other periodontal diseases
DC6037,Other specified spondylopathies_ site unspecified
DC6038,Fetus and newborn affected oligohydramnios
DC6040,Irritable bowel syndrome without diarrhea
DC6042,Bitten or struck by dog_ home
DC6045,Gonarthrosis_ unspecified
DC6046,Disorders of adrenal glands in diseases classified elsewhere
DC6047,Vesicointestinal fistula
DC6048,Other specified mental disorders due to brain damage and dysfunction and to physical disease
DC6049,Alcohol involvement NOS
DC605,Toxic effect of hydrogen sulfide
DC6050,Other postprocedural disorders of digestive system_ NEC
DC6051,Chronic gastic ulcer without hemorrhage or perforation
DC6052,Short Achilles tendon(acquired)
DC6053,Glomangioma
DC6055,Acute appendicitis with generalized peritonitis
DC6056,Injury of intrinsic muscle and tendon of thumb at wrist and hand level
DC6057,Neoplasm of uncertain or unknown behavior of pineal gland
DC6059,Subarachnoid hemorrhage from carotid siphon and bifurcation
DC606,Protein deficiency anemia
DC6060,Effusion of joint_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC6062,Benign neoplasm of male breast
DC6063,Hepatorenal syndrome
DC6064,Contact with hornets_ wasps and bees_ other specified places
DC6065,Disorder of conjunctiva_ unspecified
DC6066,Rupture of chordae tendineae_ NEC
DC6067,Other specified nutritional deficiencies
DC6068,Nonvenereal syphilis
DC6069,Injury of other and unspecified muscles and tendon at forearm level
DC607,Adenocarcinoma In Adenomatous Polyp
DC6070,Irradiation cystitis
DC6071,Otitis externa in bacterial diseases classified elsewhere
DC6072,First degree perineal laceration during delivery
DC6073,Melena
DC6074,Car occupant [any] injured unspecified nontraffic accident
DC6075,Coronary thrombosis not resulting in myocardial infarction
DC6076,Organic emotionally labile [asthenic] disorder
DC6077,Discoid meniscus(congenital)_ unspecified meniscus or ligament
DC6078,Intraductal Carcinoma_ Non-infiltrating NOS
DC6080,Other superficial injury of wrist and hand_ abrasion
DC6081,Pneumoconiosis associated with tuberculosis
DC6082,Pityriasis alba
DC6084,Propionic acid derivatives causing adverse effects in therapeutic use
DC6087,Total(external) ophthalmoplegia
DC6088,Sprain and strain of shoulder joint
DC6089,Disorder of sulfur-bearing amino-acid metabolism
DC609,Retention of urine
DC6090,Chronic or unspecified duodenal ulcer with hemorrhage
DC6091,Other malignant neoplasm of skin of eyelid_ including canthus
DC6092,Traumatic amputation of external genital organs
DC6093,Malignant neoplasm of pineal gland
DC6096,Abnormality of albumin
DC6098,Dislocation of thoracic vertebra
DC6099,Observation for other suspected diseases and conditions
DC610,Corrosion of other parts of alimentary tract
DC6100,Reiter's disease_ site unspecified
DC6102,Plasmodium vivax malaria with other complications
DC6105,Rupture of ligaments at ankle and foot level
DC6106,Other specified medical care
DC6108,Malignant neoplasm of isthmus uteri
DC6109,Recurrent dislocation of patella
DC611,Postprocedural urethral stricture
DC6110,Precancerous Melanosis NOS
DC6111,Delivery by emergency cesarean section
DC6114,Other gender identity disorders
DC6115,Malignant melanoma of trunk
DC6117,Pain in limb_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC6118,Poikiloderma vasculare atrophicans
DC6119,Rhabdomyosarcoma NOS
DC6120,Combined vocal and multiple motor tic disorder [de la Tourette]
DC6121,Injury of spleen_ without open wound into cavity
DC6122,Epithelial Tumor_ Benign
DC6125,Insulinoma NOS (D13.7)
DC6126,Other specified disorders of circulatory system in diseases classified elsewhere
DC6128,Malignant neoplasm of connective and soft tissue of upper limb_ including shoulder
DC613,Allergic rhinitis due to pollen
DC6130,Parageusia
DC6132,Other specified deforming dorsopathies_ site unspecified
DC6133,B cell lymphoma_ unspecified
DC6136,Cervical disc disorder_ unspecified
DC6137,Superficial injury of neck_ park unspecified
DC6138,Chronic rhinitis
DC6139,Bradycardia_ unspecified
DC614,Chronic tonsillitis
DC6144,Heat exhaustion_ anhydrotic
DC6145,Sprain and strain of joints and ligaments of other and unspecified parts of neck
DC6150,Rheumatism_ unspecified_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC6151,Sequelae of injury of cranial nerves
DC6154,Endocrine disorder_ unspecified
DC6155,Neonatal cerebral leukomalacia
DC6156,Hidradenitis suppurativa
DC6159,Ulcer of lower limb_ NEC
DC616,Acute salpingitis and oophoritis
DC6161,Open fracture of neck of femur
DC6162,Intussusception
DC6163,Hyperplasia of prostate with obstruction
DC6166,Sensorineural hearing loss_ unilateral with unrestricted hearing on the contralateral side
DC6167,Malignant neoplasm of cervix uteri_ unspecified
DC617,Passenger of car injured in collision with car_ pick-up truck or van in traffic accident
DC6170,Childhood disorder of social functioning_ unspecified
DC6171,Enthesopathy_ unspecified_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC6172,Pigmented purpuric dermatosis
DC6173,Central neurocytoma
DC6174,Neoplasm of uncertain or unknown behavior of aortic body and other paraganglia
DC6177,Abnormal hard tissue formation in pulp
DC6180,Neonatal jaundice associated with preterm delivery
DC6181,Other disorders of facial nerve
DC6182,Spondylolisthesis_ lumbosacral region
DC6183,Malignant neoplasm of head of pancreas
DC6186,Disorders of glossopharyngeal nerve
DC6187,Other osteonecrosis_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC6188,Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
DC6189,Other Juvenile arthritis_ site unspecified
DC619,Chronic ethmoidal sinusitis
DC6190,Chronic duodenal ulcer without hemorrhage or perforation
DC6192,Sciatica_ lumbosacral region
DC6193,Acute myelomonocytic leukemia
DC6194,Myeloid sarcoma
DC6195,Hypertrophy of bone_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC6196,Drug-induced tremor
DC620,Intracerebral hemorrhage in cerebellum
DC6201,Disorder of sclera_ unspecified
DC6204,Pain in joint_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC6205,Secondary malignant neoplasm of skin
DC6208,Tracheostomy malfunction
DC6212,Arthrosis_ unspecified_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC6214,Bronchopneumonia_ unspecified
DC6218,Rapidly progressive nephritic syndrome with diffuse crescentic glomerulonephritis
DC6219,Other migraine
DC6220,Umbilical hernia without obstruction or gangrene
DC6225,Closed fracture of scapula
DC6227,Malignant neoplasm of small intestine_ unspecified
DC6228,Sequelae of burn_ corrosion and frostbite of head and neck
DC6229,Fever with chils
DC6230,Atrophy of edentulous alveolar ridge
DC6234,Carcinoma in situ vagina
DC6236,Streptococcal infection_ unspecified site
DC6238,Involvement of eyelid in other infectious diseases classified elsewhere
DC624,Other specified erythematous conditions
DC6241,Simple chronic bronchitis
DC6243,Status migrainosus
DC6245,Toxic effect of gases_ fumes and vapors_ unspecified
DC6246,Injury of thoracic aorta
DC625,Skin Appendage Adenoma
DC6251,Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
DC6252,Poisoning by other opioids
DC6254,Other multiple valve diseases
DC6256,Carcinoma in situ exocervix
DC6257,Osteonecrosis in other diseases classified elsewhere_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC6259,Other specified general symptoms and signs
DC6260,Motion sickness
DC6261,Hirsutism
DC6262,Malignant neoplasm of posterior mediastinum
DC6264,Moderate vulvar dysplasia
DC6266,Chronic Myeloproliferative Disease_ NOS(D47.1)
DC6268,Fatigue fracture of vertebra_ sacral and sacrococcygeal region
DC6269,Radiculopathy_ cervicothoracic region
DC6270,Nonpyogenic thrombosis of intracranial venous system
DC6274,Observation for suspected mental and behavioral disorders
DC6275,Cystitis_ unspecified
DC6277,Liver disorders in other diseases classified elsewhere
DC6278,Unspecified dislocation of hip
DC628,Shigellosis_ unspecified
DC6282,Other spondylosis with myelopathy_ occipito-atlanto-axial region
DC6283,Other pulmonary aspergillosis
DC6285,Angiofibroma NOS 
DC6286,Relapsing polychondritis_ site unspecified
DC629,Neoplasm_ Malignant
DC6291,Mononeuropathy of lower limb_ unspecified
DC6294,Injury of unspecified intra-abdominal organ_ with open wound into cavity
DC6298,Pericardial effusion (noninflammatory)
DC63,Other adult osteomalacia_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC630,Bubonic plague
DC6300,Other transitory neonatal disorders of thyroid function_ NEC
DC6302,Other benign neoplasms of  connective and other soft tissue of head_ face and neck
DC6303,Xanthelasma of eyelid
DC6305,Fracture of skull and facial bones_part unspecified_ open
DC6306,Injury of innominate or subclavian vein
DC6307,Hematoma of broad ligament
DC6308,Carcinoma in situ other and unspecified male genital organs
DC6309,Nonunion of fracture[pseudarthrosis]_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC631,Acute pharyngitis_ unspecified
DC6310,Primary open angle glaucoma
DC6311,Disorder of visual pathways_ unspecified
DC6313,Leiomyoma NOS
DC6314,Other specified local infections of skin and subcutaneous tissue
DC6315,Soft tissue disorder_ unspecified_ forearm (radius_ ulna_ wrist joints)
DC6318,Other aortic valve disorders
DC6319,Other enthesopathies NEC_ site unspecified
DC632,Sick sinus syndrome
DC6320,Fracture of other skull and facial bones_ closed
DC6321,Conduct disorder_ unspecified
DC6323,Other abnormal auditory perceptions
DC6326,Other multiple injuries of abdomen_ lower back and pelvis
DC6327,Geographic tongue
DC6328,Contact with sharp glass_ unspecified place
DC6329,Other injury of lumbar spinal cord
DC6330,Other interstitial pulmonary diseases with fibrosis
DC6332,Anemia in neoplastic disease
DC6334,Mixed conductive and sensorineural hearing loss_ unspecified
DC6335,Fracture of other and unspecified parts of wrist and hand_ open
DC6336,Carcinoma_ Diffuse Type
DC6337,Special examination_ unspecified
DC6339,Malignant neoplasm of pancreas_ unspecified
DC634,Malignant neoplasm of Ampulla of Vater
DC6341,Sleep disorder_ unspecified
DC6342,Unspecified injury of thorax
DC6343,Biomechanical lesion_ unspecified_ rib cage(costochondral_ costovertebral_ sternochondral)
DC6345,Folliculitis ulerythematosa reticulata
DC6346,Visual field defects
DC6347,Exposure to electric transmission lines_ home
DC6348,Arthritis_ unspecified_ forearm(radius_ ulna_ wrist joints)
DC6349,Multiple papillomata and wet crab yaws
DC6353,Hypereosinophilic syndrome
DC6354,Obstructed labour due to breech presentation
DC6355,Waldenstrom macroglobulinemia
DC6357,Localized skin eruption due to drugs and medicaments
DC6358,Other specified myopathies
DC6359,Algoneurodystrophy_ lower leg
DC636,Dislocations_ spranis and strains involving multiple regions of upper limb (s) with lower limb(s)
DC6361,Toxic effect of cyanides
DC6363,Injury of oculomotor nerve
DC6364,Dermatophytosis_ unspecified
DC6365,Dysphonia
DC6366,Malignant neoplasm of cerebral ventricle
DC6367,Open wound of eyelid and periocular area
DC6369,Ocular pain
DC637,Dietary calcium deficiency
DC6370,Multiple valve disease_ unspecified
DC6371,Other follicular cysts of skin and subcutaneous tissue
DC6373,Glomerular disorders in diabetes mellitus
DC6374,Juvenile rheumatoid arthritis_ site unspecified
DC6375,Unspecified chronic respiratory disease originating in the perinatal period
DC6379,Pulmonary cryptococcosis
DC6382,Flat foot (pes planus) (acquired)
DC6383,Other fibroblastic disorders_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC6385,Calcific tendinitis_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC6387,With loss of consciousness of brief duration[less than 30 minutes]
DC6388,Benign neoplasm of transverse colon
DC6390,Vomiting of pregnancy_ unspecified
DC6394,Closed fracture of lower end of radius
DC6395,Lipid storage disorder_ unspecified
DC6396,Struck by thrown_ projected or falling object_ unspecified place
